"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Cash Ur Drive Marketing Limited","SME","130","CUDML","31-JUL-2025","04-AUG-2025","RS.123 to RS.130","07-AUG-2025"
"Renol Polychem Limited","SME","105","RNPL","31-JUL-2025","04-AUG-2025","RS.100 to RS.105","07-AUG-2025"
"National Securities Depository Limited","EQ","-","NSDL","30-JUL-2025","01-AUG-2025","Rs.760 to Rs.800","-"
"M&B Engineering Limited","EQ","   385","MBEL","30-JUL-2025","01-AUG-2025","Rs.366 to Rs.385","06-AUG-2025"
"Sri Lotus Developers and Realty Limited","EQ","   150","LOTUSDEV","30-JUL-2025","01-AUG-2025","Rs.140 to Rs.150","06-AUG-2025"
"Aditya Infotech Limited","EQ","   675","CPPLUS","29-JUL-2025","31-JUL-2025","Rs.640 to Rs.675","05-AUG-2025"
"Laxmi India Finance Limited","EQ","   158","LAXMIINDIA","29-JUL-2025","31-JUL-2025","Rs.150 to Rs.158","05-AUG-2025"
"Kaytex Fabrics Limited","SME","180","KAYTEX","29-JUL-2025","31-JUL-2025","RS.171 to RS.180","05-AUG-2025"
"Shanti Gold International Limited","EQ","   199","SHANTIGOLD","25-JUL-2025","29-JUL-2025","Rs.189 to Rs.199","01-AUG-2025"
"Sellowrap Industries Limited","SME","83","SELLOWRAP","25-JUL-2025","29-JUL-2025","RS.79 to RS.83","01-AUG-2025"
"Brigade Hotel Ventures Limited","EQ","    90","BRIGHOTEL","24-JUL-2025","28-JUL-2025","Rs.85 to Rs.90","31-JUL-2025"
"GNG Electronics Limited","EQ","   237","EBGNG","23-JUL-2025","25-JUL-2025","Rs.225 to Rs.237","30-JUL-2025"
"Indiqube Spaces Limited","EQ","   237","INDIQUBE","23-JUL-2025","25-JUL-2025","Rs.225 to Rs.237","30-JUL-2025"
"TSC India Limited","SME","70","TSC","23-JUL-2025","25-JUL-2025","RS.68 to RS.70","30-JUL-2025"
"Savy Infra and Logistics Limited","SME","120","SAVY","21-JUL-2025","23-JUL-2025","RS.114 to RS.120","28-JUL-2025"
"Sammaan Capital Limited","DEBT","######","SCL004","15-JUL-2025","28-JUL-2025","Rs.1000","20-OCT-2025"
"Sammaan Capital Limited","DEBT","######","SCL004","15-JUL-2025","28-JUL-2025","Rs.1000","20-OCT-2025"
"Anthem Biosciences Limited","EQ","   570","ANTHEM","14-JUL-2025","16-JUL-2025","Rs.540 to Rs.570","21-JUL-2025"
"Spunweb Nonwoven Limited","SME","96","SPUNWEB","14-JUL-2025","16-JUL-2025","RS.90 to RS.96","21-JUL-2025"
"Smartworks Coworking Spaces Limited","EQ","   407","SMARTWORKS","10-JUL-2025","14-JUL-2025","Rs.387 to Rs.407","17-JUL-2025"
"Adani Enterprises Limited","NA","  1000","AEL17725","09-JUL-2025","11-JUL-2025","Rs.1000","21-JUL-2025"
"Adani Enterprises Limited","NA","  1000","AEL17725","09-JUL-2025","11-JUL-2025","Rs.1000","21-JUL-2025"
"Travel Food Services Limited","EQ","  1100","TRAVELFOOD","07-JUL-2025","09-JUL-2025","Rs.1045 to Rs.1100","14-JUL-2025"
"Smarten Power Systems Limited","SME","100","SMARTEN","07-JUL-2025","09-JUL-2025","RS.100","14-JUL-2025"
"Happy Square Outsourcing Services Limited","SME","76","WHITEFORCE","03-JUL-2025","07-JUL-2025","RS.72 to RS.76","10-JUL-2025"
"CRIZAC LIMITED","EQ","   245","CRIZAC","02-JUL-2025","04-JUL-2025","Rs.233 to Rs.245","09-JUL-2025"
"Cedaar Textile Limited","SME","140","CEDAAR","30-JUN-2025","02-JUL-2025","Rs.130 to RS.140","07-JUL-2025"
"Silky Overseas Limited","SME","161","SILKY","30-JUN-2025","02-JUL-2025","Rs.153 to RS.161","07-JUL-2025"
"Pushpa Jewellers Limited","SME","147","PUSHPA","30-JUN-2025","02-JUL-2025","Rs.143 to RS.147","07-JUL-2025"
"Indogulf Cropsciences Limited","BE","   111","IGCL","26-JUN-2025","30-JUN-2025","Rs.105 to Rs.111","03-JUL-2025"
"Indogulf Cropsciences Limited","BE","   111","IGCL","26-JUN-2025","30-JUN-2025","Rs.105 to Rs.111","03-JUL-2025"
"PRO FX Tech Limited","SME","87","PROFX","26-JUN-2025","30-JUN-2025","Rs.82 to RS.87","03-JUL-2025"
"Moving Media Entertainment Limited","SME","70","MMEL","26-JUN-2025","30-JUN-2025","Rs.66 to RS.70","03-JUL-2025"
"HDB Financial Services Limited","EQ","   740","HDBFS","25-JUN-2025","27-JUN-2025","Rs.700 to Rs.740","02-JUL-2025"
"Sambhv Steel Tubes Limited","EQ","    82","SAMBHV","25-JUN-2025","27-JUN-2025","Rs.77 to Rs.82","02-JUL-2025"
"Rama Telecom Limited","SME","68","RTL","25-JUN-2025","27-JUN-2025","Rs.65 to RS.68","02-JUL-2025"
"Suntech Infra Solutions Limited","SME","86","SUNTECH","25-JUN-2025","27-JUN-2025","Rs.81 to RS. 86","02-JUL-2025"
"Kalpataru Limited","EQ","   414","KALPATARU","24-JUN-2025","26-JUN-2025","Rs.387 to Rs.414","01-JUL-2025"
"Ellenbarrie Industrial Gases Limited","EQ","   400","ELLEN","24-JUN-2025","26-JUN-2025","Rs.380 to Rs.400","01-JUL-2025"
"Globe Civil Projects Limited","BE","    71","GLOBECIVIL","24-JUN-2025","26-JUN-2025","Rs.67 to Rs.71","01-JUL-2025"
"Globe Civil Projects Limited","BE","    71","GLOBECIVIL","24-JUN-2025","26-JUN-2025","Rs.67 to Rs.71","01-JUL-2025"
"Shri Hare-Krishna Sponge Iron Limited","SME","59","SHKSIL","24-JUN-2025","26-JUN-2025","Rs.56 to RS. 59","01-JUL-2025"
"Safe Enterprises Retail Fixtures Limited","SME","138","SAFEENTP","20-JUN-2025","24-JUN-2025","Rs.131 to RS. 138","27-JUN-2025"
"Mayasheel Ventures Limited","SME","47","MAYASHEEL","20-JUN-2025","24-JUN-2025","Rs.44 to RS. 47","27-JUN-2025"
"Aakaar Medical Technologies Limited","SME","72","AAKAAR","20-JUN-2025","24-JUN-2025","Rs.68 to RS. 72","27-JUN-2025"
"Arisinfra Solutions Limited","EQ","   222","ARISINFRA","18-JUN-2025","20-JUN-2025","Rs.210 to Rs.222","25-JUN-2025"
"Influx Healthtech Limited","SME","96","INFLUX","18-JUN-2025","20-JUN-2025","Rs.91 to RS. 96","25-JUN-2025"
"Eppeltone Engineers Limited","SME","128","EEPL","17-JUN-2025","19-JUN-2025","Rs.125 to RS. 128","24-JUN-2025"
"Samay Project Services Limited","SME","34","SAMAY","16-JUN-2025","18-JUN-2025","Rs.32 to RS. 34","23-JUN-2025"
"Patil Automation Limited","SME","120","PATILAUTOM","16-JUN-2025","18-JUN-2025","Rs.114 to RS. 120","23-JUN-2025"
"Oswal Pumps Limited","EQ","   614","OSWALPUMPS","13-JUN-2025","17-JUN-2025","Rs.584 to Rs.614","20-JUN-2025"
"Monolithisch India Limited","SME","143","MONOLITH","12-JUN-2025","16-JUN-2025","Rs.135 to RS. 143","19-JUN-2025"
"Jainik Power Cables Limited","SME","110","JAINIK","10-JUN-2025","12-JUN-2025","Rs.100 to RS. 110","17-JUN-2025"
"Sacheerome Limited","SME","102","SACHEEROME","09-JUN-2025","11-JUN-2025","Rs.96 to RS. 102","16-JUN-2025"
"Ganga Bath Fittings Limited","SME","49","GANGABATH","04-JUN-2025","06-JUN-2025","Rs.46 to RS. 49","11-JUN-2025"
"Scoda Tubes Limited","BE","   140","SCODATUBES","28-MAY-2025","30-MAY-2025","Rs.130 Rs.140","04-JUN-2025"
"Scoda Tubes Limited","BE","   140","SCODATUBES","28-MAY-2025","30-MAY-2025","Rs.130 Rs.140","04-JUN-2025"
"N R Vandana Tex Industries Limited","SME","45","NRVANDANA","28-MAY-2025","30-MAY-2025","Rs.42 to Rs.45","04-JUN-2025"
"Neptune Petrochemicals Limited","SME","122","NEPTUNE","28-MAY-2025","30-MAY-2025","Rs.115 to RS. 122","04-JUN-2025"
"Prostarm Info Systems Limited","BE","   105","PROSTARM","27-MAY-2025","29-MAY-2025","Rs.95 to Rs.105","03-JUN-2025"
"Prostarm Info Systems Limited","BE","   105","PROSTARM","27-MAY-2025","29-MAY-2025","Rs.95 to Rs.105","03-JUN-2025"
"Blue Water Logistics Limited","SME","135","BLUEWATER","27-MAY-2025","29-MAY-2025","Rs.132 to Rs.135","03-JUN-2025"
"Nikita Papers Limited","SME","104","NIKITA","27-MAY-2025","29-MAY-2025","Rs.95 to RS. 104","03-JUN-2025"
"Schloss Bangalore Limited","EQ","   435","THELEELA","26-MAY-2025","28-MAY-2025","Rs.413 to Rs.435","02-JUN-2025"
"Aegis Vopak Terminals Limited","N0","######","692AVTL28","26-MAY-2025","28-MAY-2025","Rs.223 to Rs.235","12-NOV-2025"
"Aegis Vopak Terminals Limited","N0","######","692AVTL28","26-MAY-2025","28-MAY-2025","Rs.223 to Rs.235","12-NOV-2025"
"Belrise Industries Limited","EQ","    90","BELRISE","21-MAY-2025","23-MAY-2025","Rs.85 to Rs.90","28-MAY-2025"
"Dar Credit & Capital Limited","SME","100000","12DCCL27","21-MAY-2025","23-MAY-2025","Rs.57 to Rs.60","23-SEP-2025"
"Borana Weaves Limited","BE","   216","BORANA","20-MAY-2025","22-MAY-2025","Rs.205 to Rs.216","27-MAY-2025"
"Borana Weaves Limited","BE","   216","BORANA","20-MAY-2025","22-MAY-2025","Rs.205 to Rs.216","27-MAY-2025"
"Accretion Pharmaceuticals Limited","SME","101","ACCPL","14-MAY-2025","16-MAY-2025","Rs.96 to Rs.101","21-MAY-2025"
"Integrity Infrabuild Developers Limited","SME","100","INTEGRITY","13-MAY-2025","15-MAY-2025","Rs.100","20-MAY-2025"
"Virtual Galaxy Infotech Limited","SME","142","VGINFOTECH","09-MAY-2025","14-MAY-2025","Rs.135 to Rs.142","19-MAY-2025"
"Arunaya Organics Limited","SME","58","ARUNAYA","29-APR-2025","02-MAY-2025","Rs.55 TO RS. 58","07-MAY-2025"
"Ather Energy Limited","EQ","   321","ATHERENERG","28-APR-2025","30-APR-2025","Rs.304 to Rs.321","06-MAY-2025"
"Iware Supplychain Services Limited","SME","95","IWARE","28-APR-2025","30-APR-2025","Rs.95","06-MAY-2025"
"Tankup Engineers Limited","SME","140","TANKUP","23-APR-2025","25-APR-2025","Rs.133 TO RS. 140","30-APR-2025"
"IIFL Finance Limited","N0","######","880IIFL26","07-APR-2025","11-APR-2025","Rs.1000","10-JUL-2025"
"IIFL Finance Limited","N0","######","880IIFL26","07-APR-2025","11-APR-2025","Rs.1000","10-JUL-2025"
"UGRO Capital Limited","DEBT","  1000","UGROD6","03-APR-2025","17-APR-2025","Rs.1000","28-APR-2025"
"UGRO Capital Limited","DEBT","  1000","UGROD6","03-APR-2025","17-APR-2025","Rs.1000","28-APR-2025"
"SMC Global Securities Limited","DEBT","-","SMCG02","02-APR-2025","17-APR-2025","Rs.1000","-"
"SMC Global Securities Limited","DEBT","-","SMCG02","02-APR-2025","17-APR-2025","Rs.1000","-"
"ATC Energies System Limited","SME","118","ATCENERGY","25-MAR-2025","27-MAR-2025","Rs.112 to Rs.118","02-APR-2025"
"Shri Ahimsa Naturals Limited","SME","119","SHRIAHIMSA","25-MAR-2025","27-MAR-2025","Rs.113 to Rs.119","02-APR-2025"
"Rapid Fleet Management Services Limited","SME","192","RAPIDFLEET","21-MAR-2025","25-MAR-2025","Rs.183 to Rs.192","28-MAR-2025"
"Active Infrastructures Limited","SME","181","ACTIVEINFR","21-MAR-2025","25-MAR-2025","Rs.178 to Rs.181","28-MAR-2025"
"Grand Continent Hotels Limited","SME","113","GCHOTELS","20-MAR-2025","24-MAR-2025","Rs.107 to Rs.113","27-MAR-2025"
"Divine Hira Jewellers Limited","SME","90","DIVINEHIRA","17-MAR-2025","19-MAR-2025","Rs.90","24-MAR-2025"
"Balaji Phosphates Limited","SME","70","BALAJIPHOS","28-FEB-2025","04-MAR-2025","Rs.66 to Rs.70","07-MAR-2025"
"Sammaan Capital Limited","DEBT","######","SCL003","27-FEB-2025","12-MAR-2025","Rs.1000","20-OCT-2025"
"Sammaan Capital Limited","DEBT","######","SCL003","27-FEB-2025","12-MAR-2025","Rs.1000","20-OCT-2025"
"HP Telecom India Limited","SME","108","HPTL","20-FEB-2025","24-FEB-2025","Rs.108","28-FEB-2025"
